corruption,severity,loss,ood_accuracy,experiment,optimizer_x,rho_x,optimizer_y,rho_y,feature_stability_cosine,feature_stability_std
motion_blur,2,0.6482628483772278,0.7891,sam_rho010_seed42,sam,0.1,sam,0.1,0.9037142395973206,0.0812951400876045
motion_blur,3,1.002248007106781,0.684,sam_rho010_seed42,sam,0.1,sam,0.1,0.8473472595214844,0.1105961948633194
motion_blur,4,0.999832745742798,0.6819,sam_rho010_seed42,sam,0.1,sam,0.1,0.8472248315811157,0.1112930923700332
motion_blur,5,1.3322611198425294,0.5954,sam_rho010_seed42,sam,0.1,sam,0.1,0.796188473701477,0.1306548714637756
brightness,1,0.2000475652217865,0.9285,sam_rho010_seed42,sam,0.1,sam,0.1,0.9989864230155944,0.0020452074240893
brightness,2,0.2097581686496734,0.9244,sam_rho010_seed42,sam,0.1,sam,0.1,0.9959341883659364,0.0057746274396777
brightness,3,0.227165866279602,0.9199,sam_rho010_seed42,sam,0.1,sam,0.1,0.9910388588905334,0.0117233470082283
brightness,4,0.2500856049537658,0.9127,sam_rho010_seed42,sam,0.1,sam,0.1,0.9843732714653016,0.019086143001914
brightness,5,0.3231749772071838,0.8887,sam_rho010_seed42,sam,0.1,sam,0.1,0.9656051993370056,0.0371414646506309
contrast,1,0.2149751486778259,0.9251,sam_rho010_seed42,sam,0.1,sam,0.1,0.9939699172973632,0.0058390274643898
contrast,2,0.3227459440231323,0.8857,sam_rho010_seed42,sam,0.1,sam,0.1,0.9625694155693054,0.0314689949154853
contrast,3,0.4568908305168151,0.8368,sam_rho010_seed42,sam,0.1,sam,0.1,0.9290003776550292,0.0545257776975631
contrast,4,0.7889398374557495,0.7245,sam_rho010_seed42,sam,0.1,sam,0.1,0.8604433536529541,0.0921782329678535
contrast,5,2.5677944541931157,0.2889,sam_rho010_seed42,sam,0.1,sam,0.1,0.6011363863945007,0.1633075326681137
jpeg_compression,1,0.4113626703262329,0.8588,sam_rho010_seed42,sam,0.1,sam,0.1,0.9511563181877136,0.0433953516185283
jpeg_compression,2,0.5474145066261291,0.8138,sam_rho010_seed42,sam,0.1,sam,0.1,0.924373745918274,0.0608995519578456
jpeg_compression,3,0.6041135251998901,0.7965,sam_rho010_seed42,sam,0.1,sam,0.1,0.9143770337104796,0.0680014640092849
jpeg_compression,4,0.675687783241272,0.7704,sam_rho010_seed42,sam,0.1,sam,0.1,0.9036449193954468,0.0743911042809486
jpeg_compression,5,0.7696470520019532,0.7423,sam_rho010_seed42,sam,0.1,sam,0.1,0.8891420960426331,0.0827469378709793
